Team,metric,home_corner_attack_rating,home_corner_defense_rating,away_corner_attack_rating,away_corner_defence_rating,home_rating_as_of,away_rating_as_of
Man City,adj,1.034905763557039,0.8374911000286049,0.9867493563386689,1.015404889561399,2026-08-23,2026-08-28
Man City,adj_nr,1.0108317907585667,0.8747289710428576,0.9714244437667618,1.1291200893309523,2026-08-23,2026-08-28
Man City,nr,1.2354521038495971,0.6980273141122912,1.2462006079027355,0.8042895442359249,2026-08-23,2026-08-28
Man City,raw,1.2537993920972643,0.6730769230769231,1.2795793163891322,0.7283763277693475,2026-08-23,2026-08-28
Liverpool,adj,1.0410571118759295,1.128533640220659,0.9730919374313374,0.9231192537880923,2026-08-29,2026-08-23
Liverpool,adj_nr,1.0262346797693096,1.1029746644998242,1.0104982324999188,0.9952717908705846,2026-08-29,2026-08-23
Liverpool,nr,1.2332439678284182,0.9201213346814965,1.3549039433771488,0.7864164432529044,2026-08-29,2026-08-23
Liverpool,raw,1.2514220705346983,0.936132983377078,1.3018785495849716,0.7283763277693475,2026-08-29,2026-08-23
Arsenal,adj,0.9379345825795946,0.865369341666282,1.0742517689561368,0.9428750759934797,2026-08-21,2026-05-24
Arsenal,adj_nr,0.9168784334734259,0.9186348773718258,1.074166345623574,0.9412929269163677,2026-08-21,2026-05-24
Arsenal,nr,1.129032258064516,0.7336683417085427,1.3259668508287292,0.6846846846846847,2026-08-21,2026-05-24
Arsenal,raw,1.162613981762918,0.693541395752059,1.3212435233160622,0.6812093379257559,2026-08-21,2026-05-24
Chelsea,adj,1.1212775425158987,0.9488277538366471,0.944891566765146,1.0282575162175427,2026-08-30,2026-08-24
Chelsea,adj_nr,1.0776155814355863,1.022274284249577,0.9357772532734566,1.1498156371055281,2026-08-30,2026-08-24
Chelsea,nr,1.2578055307760927,0.9600808489135927,1.0813542193026782,0.993288590604027,2026-08-30,2026-08-24
Chelsea,raw,1.310109806891329,0.8832531700918234,1.1009174311926604,0.8887200911507785,2026-08-30,2026-08-24
Newcastle,adj,1.1968027791283222,1.049806900605649,1.0528088801816349,1.106851502562763,2026-08-23,2026-08-29
Newcastle,adj_nr,1.1773610568882247,1.0477113322864617,1.0161380814249912,1.0054727366973115,2026-08-23,2026-08-29
Newcastle,nr,1.2511170688114388,1.031344792719919,1.1336032388663968,0.9294012511170688,2026-08-23,2026-08-29
Newcastle,raw,1.267071320182094,1.0310179117518565,1.1646234676007008,1.0238907849829353,2026-08-23,2026-08-29
Bournemouth,adj,1.25649223678669,0.8575926036688724,1.088260213953593,1.0692929720516533,2026-08-29,2026-08-23
Bournemouth,adj_nr,1.2773783651605632,0.8153868200673995,0.9917770692533041,1.0557501404554246,2026-08-29,2026-08-23
Bournemouth,nr,1.236559139784946,0.8801213960546281,0.9509357612544258,1.1190689346463742,2026-08-29,2026-08-23
Bournemouth,raw,1.2091254752851712,0.9277899343544858,1.0664335664335665,1.1398176291793312,2026-08-29,2026-08-23
Everton,adj,0.9045862868615505,0.941200705652563,0.9178251931736412,1.040301736509001,2026-08-22,2026-08-29
Everton,adj_nr,0.8650083246646738,0.8966276284612223,0.9616442825647842,1.012170342559496,2026-08-22,2026-08-29
Everton,nr,0.8325872873769025,0.9370277078085643,0.9408194233687405,1.1559139784946235,2026-08-22,2026-08-29
Everton,raw,0.8735282947208507,0.9821816601477616,0.9015317286652078,1.1863117870722435,2026-08-22,2026-08-29
Crystal Palace,adj,0.761016684683938,0.942327942180324,0.8869843837758437,1.0017319084980458,2026-08-28,2026-08-22
Crystal Palace,adj_nr,0.7882076148644139,0.9620466227768918,0.9134683592894102,0.9576151908591666,2026-08-28,2026-08-22
Crystal Palace,nr,0.8132260947274352,1.0131712259371835,0.8664987405541561,1.0384959713518351,2026-08-28,2026-08-22
Crystal Palace,raw,0.7890743550834598,0.9991235758106922,0.8518035636679704,1.0938093429548044,2026-08-28,2026-08-22
