Minute,Team,teamsup,team_state,Repeater,expected_rate,avg_rate,adj_corner_value
7,Rayo Vallecano,-0.77,Drawing,0,0.0417864543311641,0.05637792478799449,1.3491913992316922
19,Barcelona,0.77,Losing,0,0.06865516122701039,0.04272290728005691,0.6222825278756875
26,Rayo Vallecano,-0.77,Winning,0,0.02876803334454696,0.05637792478799449,1.959742055105795
35,Barcelona,0.77,Losing,0,0.06865516122701039,0.04272290728005691,0.6222825278756875
69,Rayo Vallecano,-0.77,Drawing,0,0.0417864543311641,0.05637792478799449,1.3491913992316922
80,Barcelona,0.77,Drawing,0,0.052901605997098755,0.04272290728005691,0.807591876934699
81,Barcelona,0.77,Drawing,1,0.052901605997098755,0.04272290728005691,0.0
88,Barcelona,0.77,Winning,0,0.0382482344839949,0.04272290728005691,1.1169903096555858
95,Barcelona,0.77,Winning,0,0.0382482344839949,0.04272290728005691,1.1169903096555858
99,Rayo Vallecano,-0.77,Losing,0,0.056640562254888824,0.05637792478799449,0.9953630851029968
100,Rayo Vallecano,-0.77,Losing,1,0.056640562254888824,0.05637792478799449,0.0
101,Rayo Vallecano,-0.77,Losing,1,0.056640562254888824,0.05637792478799449,0.0
