rule,n_bets,bet_pct,total_pnl,roi,threshold,rule_family
EV >= 0.0,5564,0.5696150696150696,66.55699999999996,0.011962077641984177,0.0,"EV (NB, residual uncertainty)"
EV >= 0.01,4911,0.5027641277641277,99.93099999999995,0.020348401547546316,0.01,"EV (NB, residual uncertainty)"
EV >= 0.02,4275,0.43765356265356264,127.24699999999997,0.029765380116959058,0.02,"EV (NB, residual uncertainty)"
EV >= 0.03,3738,0.38267813267813267,139.72299999999996,0.03737907972177634,0.03,"EV (NB, residual uncertainty)"
EV >= 0.04,3188,0.3263718263718264,141.96499999999997,0.044531053952321195,0.04,"EV (NB, residual uncertainty)"
EV >= 0.05,2722,0.2786650286650287,110.65999999999998,0.04065393093313739,0.05,"EV (NB, residual uncertainty)"
EV >= 0.06,2301,0.23556511056511056,113.61899999999997,0.049378096479791383,0.06,"EV (NB, residual uncertainty)"
EV >= 0.07,1907,0.19522932022932024,105.493,0.05531882538017829,0.07,"EV (NB, residual uncertainty)"
EV >= 0.08,1589,0.16267403767403768,102.407,0.06444745122718691,0.08,"EV (NB, residual uncertainty)"
EV >= 0.09,1331,0.13626126126126126,70.517,0.052980465815176556,0.09,"EV (NB, residual uncertainty)"
EV >= 0.1,1087,0.11128173628173628,84.691,0.07791260349586017,0.1,"EV (NB, residual uncertainty)"
EV >= 0.11,899,0.09203521703521704,79.28999999999999,0.08819799777530589,0.11,"EV (NB, residual uncertainty)"
EV >= 0.12,719,0.07360769860769861,85.60499999999999,0.11906119610570234,0.12,"EV (NB, residual uncertainty)"
EV >= 0.13,591,0.060503685503685505,79.999,0.1353620981387479,0.13,"EV (NB, residual uncertainty)"
EV >= 0.14,480,0.04914004914004914,77.89,0.16227083333333334,0.14,"EV (NB, residual uncertainty)"
EV >= 0.15,376,0.03849303849303849,81.00299999999999,0.21543351063829783,0.15,"EV (NB, residual uncertainty)"
EV >= 0.16,295,0.0302006552006552,51.02,0.1729491525423729,0.16,"EV (NB, residual uncertainty)"
EV >= 0.17,245,0.02508190008190008,44.528999999999996,0.18175102040816324,0.17,"EV (NB, residual uncertainty)"
EV >= 0.18,192,0.019656019656019656,29.639999999999993,0.15437499999999996,0.18,"EV (NB, residual uncertainty)"
EV >= 0.19,151,0.015458640458640458,19.772,0.13094039735099336,0.19,"EV (NB, residual uncertainty)"
EV >= 0.2,125,0.012796887796887797,15.68,0.12544,0.2,"EV (NB, residual uncertainty)"
EV >= 0.21,99,0.010135135135135136,13.204,0.13337373737373737,0.21,"EV (NB, residual uncertainty)"
EV >= 0.22,81,0.008292383292383292,6.031000000000001,0.0744567901234568,0.22,"EV (NB, residual uncertainty)"
EV >= 0.23,61,0.0062448812448812445,14.532,0.2382295081967213,0.23,"EV (NB, residual uncertainty)"
EV >= 0.24,42,0.0042997542997543,11.267999999999999,0.26828571428571424,0.24,"EV (NB, residual uncertainty)"
EV >= 0.25,36,0.0036855036855036856,9.774000000000001,0.2715,0.25,"EV (NB, residual uncertainty)"
EV >= 0.26,32,0.003276003276003276,9.896999999999998,0.30928124999999995,0.26,"EV (NB, residual uncertainty)"
EV >= 0.27,28,0.0028665028665028664,8.136000000000001,0.2905714285714286,0.27,"EV (NB, residual uncertainty)"
EV >= 0.28,21,0.00214987714987715,7.531000000000001,0.35861904761904767,0.28,"EV (NB, residual uncertainty)"
EV >= -0.05,9486,0.9711302211302212,-152.38800000000006,-0.016064516129032265,-0.05,"EV (NB, empirical overdispersion)"
EV >= -0.04,8836,0.9045864045864046,-148.7340000000001,-0.0168327297419647,-0.04,"EV (NB, empirical overdispersion)"
EV >= -0.03,8074,0.8265765765765766,-82.35000000000005,-0.010199405499133027,-0.03,"EV (NB, empirical overdispersion)"
EV >= -0.02,7372,0.7547092547092548,-47.81200000000007,-0.006485621269669027,-0.02,"EV (NB, empirical overdispersion)"
EV >= -0.01,6653,0.6811015561015561,32.33099999999993,0.004859612205020281,-0.01,"EV (NB, empirical overdispersion)"
EV >= 0.0,5968,0.6109746109746109,65.98999999999997,0.011057305630026803,0.0,"EV (NB, empirical overdispersion)"
EV >= 0.01,5325,0.5451474201474201,56.62499999999997,0.010633802816901404,0.01,"EV (NB, empirical overdispersion)"
EV >= 0.02,4743,0.4855651105651106,93.64899999999996,0.019744676365169717,0.02,"EV (NB, empirical overdispersion)"
EV >= 0.03,4194,0.42936117936117935,81.09499999999997,0.019335956127801614,0.03,"EV (NB, empirical overdispersion)"
EV >= 0.04,3683,0.37704750204750204,121.12199999999996,0.032886777083898984,0.04,"EV (NB, empirical overdispersion)"
