Team,Leading,Level,Trailing,basis
Arsenal,0.37777777777777777,0.47444444444444445,0.14777777777777779,Expected
Aston Villa,0.2788888888888889,0.4866666666666667,0.23444444444444446,Expected
Bournemouth,0.19691358024691358,0.4901234567901235,0.31296296296296294,Expected
Brentford,0.2388888888888889,0.5188888888888888,0.24222222222222223,Expected
Brighton,0.2993827160493827,0.45925925925925926,0.24135802469135803,Expected
Burnley,0.17555555555555555,0.5055555555555555,0.3188888888888889,Expected
Chelsea,0.31333333333333335,0.49777777777777776,0.18888888888888888,Expected
Crystal Palace,0.1988888888888889,0.5344444444444445,0.26666666666666666,Expected
Everton,0.22666666666666666,0.5077777777777778,0.26555555555555554,Expected
Fulham,0.19111111111111112,0.4955555555555556,0.31333333333333335,Expected
Liverpool,0.38,0.44,0.18,Expected
Luton,0.14876543209876544,0.5,0.3512345679012346,Expected
Man City,0.41,0.46555555555555556,0.12444444444444444,Expected
Man Utd,0.33555555555555555,0.4722222222222222,0.1922222222222222,Expected
Newcastle,0.33641975308641975,0.49382716049382713,0.1697530864197531,Expected
Nottm Forest,0.17666666666666667,0.49,0.3333333333333333,Expected
Sheff Utd,0.13,0.47888888888888886,0.39111111111111113,Expected
Tottenham,0.31777777777777777,0.4711111111111111,0.2111111111111111,Expected
West Ham,0.2288888888888889,0.4811111111111111,0.29,Expected
Wolverhampton,0.17333333333333334,0.5044444444444445,0.32222222222222224,Expected
Arsenal,0.3490276356192426,0.5087001023541453,0.14227226202661208,Actual
Aston Villa,0.43597560975609756,0.3384146341463415,0.22560975609756098,Actual
Bournemouth,0.10423825887743414,0.4570446735395189,0.43871706758304696,Actual
Brentford,0.34083930399181167,0.5373592630501536,0.1218014329580348,Actual
Brighton,0.4,0.2754285714285714,0.32457142857142857,Actual
Burnley,0.12139917695473251,0.35699588477366256,0.5216049382716049,Actual
Chelsea,0.28321318228630277,0.486096807415036,0.23069001029866118,Actual
Crystal Palace,0.19164118246687054,0.5545361875637105,0.25382262996941896,Actual
Everton,0.2121524201853759,0.537590113285273,0.25025746652935116,Actual
Fulham,0.16597938144329896,0.5288659793814433,0.30515463917525776,Actual
Liverpool,0.38666666666666666,0.4451282051282051,0.1682051282051282,Actual
Luton,0.08342857142857144,0.4754285714285714,0.44114285714285717,Actual
Man City,0.5272914521112255,0.3728115345005149,0.09989701338825953,Actual
Man Utd,0.12422997946611909,0.4753593429158111,0.4004106776180698,Actual
Newcastle,0.5605022831050228,0.2979452054794521,0.1415525114155251,Actual
Nottm Forest,0.20122574055158324,0.5178753830439223,0.2808988764044944,Actual
Sheff Utd,0.0326530612244898,0.5224489795918368,0.4448979591836735,Actual
Tottenham,0.3742393509127789,0.5557809330628803,0.06997971602434078,Actual
West Ham,0.37731958762886597,0.3917525773195876,0.2309278350515464,Actual
Wolverhampton,0.16309887869520898,0.6197757390417941,0.21712538226299694,Actual
