metric,window_size,scope,n_bets,total_pnl,roi
adj_nr,15,SpainLaLiga,190,-16.715,-0.08797368421052632
adj,15,TurkiyeSuperLig,146,-17.389,-0.11910273972602739
adj,19,SwedenAllsvenskan,137,-17.888,-0.13056934306569346
adj,25,EnglandPremierLeague,250,-19.058,-0.076232
adj_nr,30,SpainLaLiga,193,-19.894000000000002,-0.10307772020725389
adj,25,SpainLaLiga,190,-20.599,-0.10841578947368422
adj,19,TurkiyeSuperLig,165,-21.706,-0.13155151515151514
adj,30,SpainLaLiga,202,-23.288,-0.11528712871287129
adj_nr,19,SpainLaLiga,204,-23.386,-0.11463725490196078
adj_nr,19,TurkiyeSuperLig,152,-27.88,-0.18342105263157893
adj_nr,25,SpainLaLiga,187,-34.123,-0.182475935828877
