League,home_match_state,home_corners,away_corners,home_share_pct
ScotlandPremiership,level,5921,4941,54.51
ScotlandPremiership,trailing,3061,2393,56.12
SpainLaLiga,leading,4888,5636,46.45
SpainLaLiga,level,10348,7283,58.69
SpainLaLiga,trailing,5066,2410,67.76
SpainSegunda,leading,5600,7147,43.93
SpainSegunda,level,13497,9229,59.39
SpainSegunda,trailing,5520,2356,70.09
SwedenAllsvenskan,leading,3601,3953,47.67
SwedenAllsvenskan,level,6785,5561,54.96
SwedenAllsvenskan,trailing,3483,2148,61.85
SwedenSuperettan,leading,3493,4119,45.89
SwedenSuperettan,level,6615,5647,53.95
SwedenSuperettan,trailing,3507,2060,63.0
SwitzerlandChallengeLeague,leading,2364,2903,44.88
SwitzerlandChallengeLeague,level,4019,3477,53.62
SwitzerlandChallengeLeague,trailing,2336,1550,60.11
SwitzerlandSuperLeague,leading,2730,3105,46.79
SwitzerlandSuperLeague,level,4847,3891,55.47
SwitzerlandSuperLeague,trailing,2848,1690,62.76
Turkiye1Lig,leading,3631,4495,44.68
Turkiye1Lig,level,8099,6306,56.22
Turkiye1Lig,trailing,3995,2267,63.8
TurkiyeSuperLig,leading,4014,5162,43.74
TurkiyeSuperLig,level,8324,6388,56.58
TurkiyeSuperLig,trailing,4419,2218,66.58
